# VECTO 3.3.10.2401 - 07.10.2022 01:52
time [s],dt [s],dist [m],v_act [km/h],v_targ [km/h],acc [m/s^2],grad [%],Gear [-],n_eng_avg [1/min],T_eng_fcmap [Nm],Tq_full [Nm],Tq_drag [Nm],P_eng_fcmap [kW],P_eng_full [kW],P_eng_full_stat [kW],P_eng_drag [kW],P_eng_inertia [kW],P_eng_out [kW],P_clutch_loss [kW],P_clutch_out [kW],P_aux [kW],P_gbx_in [kW],P_gbx_loss [kW],P_gbx_inertia [kW],P_ret_in [kW],P_ret_loss [kW],P_angle_in [kW],P_angle_loss [kW],P_axle_in [kW],P_axle_loss [kW],P_brake_in [kW],P_brake_loss [kW],P_wheel_in [kW],P_wheel_inertia [kW],P_trac [kW],P_slope [kW],P_air [kW],P_roll [kW],P_veh_inertia [kW],n_gbx_out_avg [1/min],T_gbx_out [Nm],P_aux_CYCLE,P_aux_CONSTANTAUX,FC-Map [g/h],FC-NCVc [g/h],FC-WHTCc [g/h],FC-AAUX [g/h],FC-ADAS [g/h],FC-Final [g/h]
1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0,600.0000,0.0000,1188.0000,-138.0000,0.0000,74.6442,74.6442,-8.6708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384.1077,0.0000,0.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000
2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0,600.0000,0.0000,1188.0000,-138.0000,0.0000,74.6442,74.6442,-8.6708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384.1077,0.0000,0.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000
3.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0,600.0000,0.0000,1188.0000,-138.0000,0.0000,74.6442,74.6442,-8.6708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384.1077,0.0000,0.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000
4.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0,600.0000,0.0000,1188.0000,-138.0000,0.0000,74.6442,74.6442,-8.6708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384.1077,0.0000,0.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000
5.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0,600.0000,0.0000,1188.0000,-138.0000,0.0000,74.6442,74.6442,-8.6708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384.1077,0.0000,0.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000
6.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0,600.0000,0.0000,1188.0000,-138.0000,0.0000,74.6442,74.6442,-8.6708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384.1077,0.0000,0.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000
7.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0,600.0000,0.0000,1188.0000,-138.0000,0.0000,74.6442,74.6442,-8.6708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384.1077,0.0000,0.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000
8.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0,600.0000,0.0000,1188.0000,-138.0000,0.0000,74.6442,74.6442,-8.6708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384.1077,0.0000,0.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000
9.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0,600.0000,0.0000,1188.0000,-138.0000,0.0000,74.6442,74.6442,-8.6708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384.1077,0.0000,0.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000
10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0,600.0000,0.0000,1188.0000,-138.0000,0.0000,74.6442,74.6442,-8.6708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384.1077,0.0000,0.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000,1355.0000
